name,recclass,mass,fall,year,reclat,reclong
Chelyabinsk,LL5,100000,Fell,2013,54.816670,61.116670
Los Vientos 028,H~5,12110,Found,2012,-24.683330,-69.766670
Northwest Africa 7496,Eucrite-pmict,788.4,Found,2012,22.947810,-13.385270
Sutter's Mill,C,992.5,Fell,2012,38.803890,-120.908060
Battle Mountain,L6,2900,Fell,2012,40.668130,-117.189130
Mandalay Spring,L6,2854,Found,2012,40.892010,-118.553190
Antelope,H4,754,Found,2012,40.901830,-118.544650
Pingrup,H5-melt breccia,1213,Found,2011,-33.583160,118.656620
O'Malley 019,L6,786.3,Found,2011,-30.980360,131.344560
Catalina 035,H~5,904,Found,2011,-25.233330,-69.716670
Paposo 004,L3.1,8250,Found,2011,-25.000000,-70.466670
Paposo 002,L/LL4,2407,Found,2011,-25.000000,-70.466670
Paposo 005,H5,1802,Found,2011,-25.000000,-70.466670
Paposo 010,H~6,1569,Found,2011,-25.000000,-70.466670
Paposo 008,H~5,1035,Found,2011,-25.000000,-70.466670
Paposo 003,H6,368,Found,2011,-25.000000,-70.466670
El Médano 178,H~5,5758,Found,2011,-24.850000,-70.533330
El Médano 170,L4,3893,Found,2011,-24.850000,-70.533330
El Médano 171,H~5,1821,Found,2011,-24.850000,-70.533330
El Médano 086,H4,1258,Found,2011,-24.850000,-70.533330
El Médano 078,L6,1228,Found,2011,-24.850000,-70.533330
El Médano 177,H~5,1198,Found,2011,-24.850000,-70.533330
El Médano 172,H~5,1097,Found,2011,-24.850000,-70.533330
El Médano 154,L6,1047,Found,2011,-24.850000,-70.533330
El Médano 141,L6,752,Found,2011,-24.850000,-70.533330
El Médano 132,H4,670,Found,2011,-24.850000,-70.533330
El Médano 157,H4,620,Found,2011,-24.850000,-70.533330
El Médano 126,H5,584,Found,2011,-24.850000,-70.533330
El Médano 128,L6,556,Found,2011,-24.850000,-70.533330
El Médano 155,H6,517,Found,2011,-24.850000,-70.533330
El Médano 173,L~6,448,Found,2011,-24.850000,-70.533330
El Médano 174,L~6,434,Found,2011,-24.850000,-70.533330
El Médano 133,LL6,397,Found,2011,-24.850000,-70.533330
Los Vientos 004,H5,29300,Found,2011,-24.683330,-69.766670
Los Vientos 003,H5,25450,Found,2011,-24.683330,-69.766670
Los Vientos 012,H6,7090,Found,2011,-24.683330,-69.766670
Los Vientos 023,L6,7090,Found,2011,-24.683330,-69.766670
Los Vientos 010,H5,6800,Found,2011,-24.683330,-69.766670
Los Vientos 013,H6,2016,Found,2011,-24.683330,-69.766670
Los Vientos 022,L~6,663,Found,2011,-24.683330,-69.766670
Los Vientos 014,L6,565,Found,2011,-24.683330,-69.766670
Los Vientos 025,L~6,506,Found,2011,-24.683330,-69.766670
Thika,L6,14200,Fell,2011,-1.002780,37.150280
Boumdeid (2011),L6,3599,Fell,2011,17.174930,-11.341330
Dhofar 1687,L6,394.6,Found,2011,18.090100,54.087880
Dhofar 1690,H5,700.5,Found,2011,18.203580,54.295020
Dhofar 1656,L6,420,Found,2011,18.334700,54.402600
Dhofar 1658,LL6,3150,Found,2011,18.359670,54.407050
Dhofar 1659,L6,3695,Found,2011,18.360020,54.409720
Dhofar 1657,H6,883,Found,2011,18.360150,54.394370
Dhofar 1692,L6,1568,Found,2011,18.388630,54.541100
Dhofar 1655,L6,1218,Found,2011,18.397780,54.491280
Dhofar 1693,L4,1049,Found,2011,18.462530,54.653350
Dhofar 1730,H6,1763,Found,2011,18.492220,54.181400
Dhofar 1670,H4,590.1,Found,2011,18.539580,54.573580
Dhofar 1731,H5,2222,Found,2011,18.570530,54.164000
Dhofar 1653,H6,2724,Found,2011,18.597900,54.450620
Dhofar 1654,L5,50000,Found,2011,18.678770,54.287600
Dhofar 1652,L6,800,Found,2011,18.723970,54.540600
Shalim 018,H4,347.8,Found,2011,18.898370,55.581870
Dhofar 1728,L6,1140,Found,2011,18.984200,54.645070
Dhofar 1651,L6,2170,Found,2011,18.992270,54.471170
Dhofar 1729,H6,482,Found,2011,19.003180,54.611000
Jiddat al Harasis 692,LL6,387,Found,2011,19.049550,55.560700
Jiddat al Harasis 693,L6,566,Found,2011,19.051730,55.560220
Jiddat al Harasis 694,L6,515.5,Found,2011,19.053450,55.558420
Dhofar 1650,H6,930,Found,2011,19.058220,54.571920
Dhofar 1662,H6,545,Found,2011,19.105200,54.806020
Dhofar 1732,L6,782,Found,2011,19.115820,54.596030
Jiddat al Harasis 698,H4-5,1900,Found,2011,19.127820,55.556430
Dhofar 1647,H6,444,Found,2011,19.137030,54.824780
Dhofar 1663,H5,422,Found,2011,19.139050,54.873530
Dhofar 1727,H6,453,Found,2011,19.139520,54.665580
Dhofar 1733,L3,7700,Found,2011,19.158230,54.886680
Dhofar 1665,L3,3687,Found,2011,19.172770,54.922330
Dhofar 1664,H6,2266,Found,2011,19.179000,54.932670
Dhofar 1666,L4,1300,Found,2011,19.180850,54.924700
Dhofar 1726,H3,1050,Found,2011,19.182300,54.887550
Jiddat al Harasis 701,H6,914.2,Found,2011,19.188350,55.386600
Jiddat al Harasis 706,H5,347.6,Found,2011,19.283850,55.340870
Dhofar 1677,H5,4388,Found,2011,19.365180,54.515650
Jiddat al Harasis 690,H6,632.1,Found,2011,19.430500,55.443520
Jiddat al Harasis 711,H5,2222,Found,2011,19.545420,55.433470
Dhofar 1685,H5,769.3,Found,2011,19.619770,54.148070
Jiddat al Harasis 670,H5,2399,Found,2011,19.650000,55.719400
Jiddat al Harasis 656,L6,1225,Found,2011,19.652820,55.748520
Jiddat al Harasis 716,L5,364.2,Found,2011,19.661320,56.676600
Jiddat al Harasis 660,L4,390.8,Found,2011,19.697300,56.706000
Jiddat al Harasis 669,L6,810.6,Found,2011,19.719870,55.645220
Jiddat al Harasis 668,H5,1979,Found,2011,19.761670,55.591520
Jiddat al Harasis 666,H4-6,1015,Found,2011,19.770220,55.594000
Jiddat al Harasis 665,H5,2637,Found,2011,19.778420,55.596620
Jiddat al Harasis 657,L5,720,Found,2011,19.780300,56.502600
Jiddat al Harasis 667,H4,487.4,Found,2011,19.780420,55.597900
Jiddat al Harasis 717,L5/6,942,Found,2011,19.807920,56.456030
Jiddat al Harasis 664,H5,12175,Found,2011,19.825620,55.684000
